name,category,medium,description,protocols,latency,bandwidth,range,reliability,security,complexity,cost,cost_model,recommended_devices,industry_fit,use_case,pros,cons,standards,resource_url
NATS / JetStream,web,ethernet_ip,Lightweight subject-based messaging with optional persistence for low-latency command and telemetry flows.,NATS; JetStream; TLS,<5ms on LAN,Small text/binary messages,N/A (IP-routed),High with JetStream persistence,"TLS, nkeys, JWT account authorization",Medium,Low,Low; platform/broker plus usage,"100-1,000,000 endpoints/events",Security; Manufacturing; Facilities; Maintenance,"Edge fleets, microservices, low-latency pub/sub command buses",Very low latency and simple clients; Request/reply and pub/sub in one protocol; Persistence available when needed,Smaller enterprise PBX ecosystem than MQTT or AMQP; Requires subject naming discipline; Native clients may be unavailable on constrained legacy devices,NATS Protocol,https://docs.nats.io/
OPC UA,web,ethernet_ip,"Industrial interoperability protocol for secure device command, telemetry, and semantic information models.",OPC UA; UA Binary; HTTPS; PubSub,<10ms to 100ms,Variable,N/A (IP-routed),Very High,"X.509 certificates, signing, encryption, user tokens",High,Medium-High,Medium-High,"10-10,000 industrial points",Utilities; Energy; Water; Industrial automation; Smart building; Facilities; Hospitality; Retail,"Factory, building automation, and industrial facilities integrating telephony events with PLC/SCADA assets",Vendor-neutral industrial data model; Strong built-in security model; Widely supported by automation vendors,Overkill for simple office relay control; Certificate lifecycle adds operational work; Industrial expertise needed,IEC 62541,https://opcfoundation.org/about/opc-technologies/opc-ua/
Modbus TCP,web,ethernet_ip,"Ethernet version of Modbus register reads/writes for simple PLC, relay, and I/O module command.",Modbus TCP; TCP,<10ms on LAN,Minimal register frames,N/A (IP-routed),High on isolated LANs,"None natively; isolate with VPN, firewall, or TLS gateway",Low,Low,Low,"10-10,000 industrial points",Utilities; Energy; Water; Industrial automation; Smart building; Facilities; Hospitality; Retail,PBX-triggered relay outputs in industrial or building-control panels,Extremely common in PLC and I/O devices; Simple register model; Low-cost hardware modules are widely available,No native authentication or encryption; Flat register maps can be error-prone; Needs network isolation,Modbus Application Protocol,https://modbus.org/specs.php
LoRaWAN,non_web,radio_ism,"Long-range, low-power wireless protocol for IoT in unlicensed ISM bands. Edge devices receive downlink commands from a LoRaWAN network server.",LoRaWAN 1.0.4; LoRaWAN 1.1; RP002-1.0.3,"1-10 seconds (class A), <100ms (class B/C)",0.3-50 Kbps,"2-15 km (urban), 10-30 km (rural)","Medium (spread-spectrum, duty-cycle limits)","AES-128 CTR + CMAC (end-to-end), FRM payload encryption, JoinEUI/DevEUI",Medium,"Low (module $5-15, network server open-source or cloud)","Low (module $5-15, network server open-source or cloud); subscription or message/device fees","100-100,000 remote devices",Utilities; Energy; Water; Industrial automation; Logistics; Agriculture; Remote infrastructure; Public safety,"Remote trigger of edge devices where no IP connectivity exists (agriculture, rural infrastructure, pipelines)","Exceptional range (kilometers) with very low power; No cellular subscription needed (ISM band); Excellent building penetration; Bi-directional downlink for command/control; Open standard, multi-vendor ecosystem (TTN, Helium, AWS IoT)",Very low data rate (not for large payloads); Duty-cycle restrictions in EU (868 MHz); Class A devices cannot receive downlink until they send uplink; Latency too high for real-time control,LoRaWAN L2 1.0.4; ETSI EN 300 220; FCC Part 15,https://lora-alliance.org/about-lorawan/
SMS / GSM AT Commands,non_web,cellular,Send commands to edge devices via SMS messages or direct GSM AT commands over cellular network. Widely available even in remote areas.,SMS (GSM 03.38); AT (GSM 07.07); USSD,"1-30 seconds (SMS), <1s (AT command)",160 bytes per SMS,Anywhere with cellular coverage,"High (store-and-forward SMS), Medium (AT on circuit-switched)",SMS is encrypted over-the-air (A5/3) but not end-to-end; SS7 vulnerabilities known,Low,"Low-Medium ($0.01-0.10 per SMS, GSM module $10-30)","Low-Medium ($0.01-0.10 per SMS, GSM module $10-30); subscription or message/device fees","100-100,000 remote devices",Venues; Hospitality; Broadcast; Digital signage; Logistics; Agriculture; Remote infrastructure; Public safety,"Remote sites with only cellular coverage, backup trigger path, offline command delivery",Works anywhere there is cellular coverage; GSM modules are cheap and widely available; Simple AT command interface; SMS is store-and-forward (device can receive when offline); Bidirectional (2-way SMS),"SMS latency varies (1-30s typical, can be hours); SMS is not end-to-end encrypted by default; SS7 vulnerabilities allow SMS interception; Per-message cost at scale; 2G/3G sunsetting reduces GSM availability in some regions",GSM 03.38; GSM 07.07; 3GPP TS 23.040,https://www.3gpp.org/
Z-Wave / Zigbee,non_web,radio_subghz_24ghz,"Short-range mesh RF protocols for home/building automation. Edge devices (relays, sensors, locks) are controlled via controllers that can be triggered from PBX/integration layer.",Z-Wave (ITU-T G.9959); Zigbee 3.0; Zigbee PRO,<100ms,"100 Kbps (Z-Wave), 250 Kbps (Zigbee)",30-50m per node (mesh extends significantly),"High (mesh topology, ACk, retry)","Z-Wave S2 (mandatory), Zigbee APS encryption (AES-128-CCM*)",Low-Medium,"Low (Z-Wave/Zigbee modules $3-10, controllers $30-100)","Low (Z-Wave/Zigbee modules $3-10, controllers $30-100)",1-256 local I/O points,Smart building; Facilities; Hospitality; Retail; Security; Manufacturing; Maintenance; Venues; Broadcast; Digital signage,"In-building edge device control (lighting, door lock, relay) via office PBX/automation integration",Mature ecosystem with thousands of interoperable devices; Mesh topology extends range across buildings; Low power (battery for sensors); Z-Wave S2 has strong security (mandatory since 2017); Direct integration with home/office automation hubs,Short range per node without mesh; Z-Wave and Zigbee are different ecosystems (no interoperability); Requires hub/controller for PBX integration; Limited to building-scale; not for outdoor/long-range; Z-Wave chips supply constraints historically,Z-Wave (ITU-T G.9959); Zigbee 3.0 (IEEE 802.15.4); Matter (as converged transport),https://csa-iot.org/all-solutions/zigbee/
Radio Broadcast (FSK / DTMF over RF),non_web,radio_licensed_subghz,Use licensed/sub-licensed radio (UHF/VHF) to send FSK or DTMF-modulated commands to edge devices. Traditional SCADA approach for oil/gas/water infrastructure.,FSK; GMSK; DTMF over RF; MDC-1200,<500ms,1.2-9.6 Kbps typical,5-50 km (line-of-sight dependent),"Medium (env dependent, interference, multi-path)","None inherently; add AES via encryption radios (Motorola AES-256, etc.)",High,"Medium-High (licensed radio $1000-5000, license fees, antenna infrastructure)","Medium-High (licensed radio $1000-5000, license fees, antenna infrastructure)","100-100,000 remote devices",Utilities; Energy; Water; Industrial automation; Venues; Hospitality; Broadcast; Digital signage; Logistics; Agriculture; Remote infrastructure; Public safety; SaaS; Contact center; Professional services; Systems integration,"Pipeline valve control, electrical substation switching, water system actuation where IP/cellular unavailable",Works where no IP or cellular exists; Proven in industrial SCADA for decades; Licensed spectrum provides interference protection; Range up to 50km line-of-sight,"Requires radio license in most countries; License spectrum costs and regulatory paperwork; No inherent security; encryption adds cost and complexity; Susceptible to interference, weather, multi-path; Low data rate (voice-band FSK)",ETSI EN 300 113; FCC Part 90; ITU-R SM.328,https://www.itu.int/rec/R-REC-SM.328/
"Satellite IoT (Iridium SBD, Globalstar, Starlink Direct-to-Cell)",non_web,satellite,Send commands to edge devices via satellite IoT networks. Iridium Short Burst Data (SBD) provides global pole-to-pole coverage. Emerging LEO direct-to-cell services.,Iridium SBD; Globalstar STX-3; LoRaWAN via Sat (EchoStar); NB-IoT NTN,"10-60 seconds (Iridium SBD), <1s (Starlink D2C)",340 bytes per SBD message (Iridium),"Global (Iridium), Regional (Globalstar, Inmarsat)",High (but dependent on sky view),"AES-256 (Iridium), end-to-end encryption supported",Medium-High,"Medium-High ($0.05-1.00 per message, module $100-500)","Medium-High ($0.05-1.00 per message, module $100-500); high engineering/infrastructure","100-100,000 remote devices",Logistics; Agriculture; Remote infrastructure; Public safety,"Edge devices in polar regions, oceans, deserts, or anywhere with zero terrestrial connectivity",True global coverage (Iridium covers poles); No terrestrial infrastructure needed; Ideal for remote monitoring and command; New LEO services (Starlink D2C) will reduce latency and cost,High per-message cost for traditional satellite IoT; Iridium SBD has 10-60 second latency; Requires clear sky view (not for indoor); Module cost higher than cellular/LoRaWAN; Bandwidth extremely limited,Iridium SBD (9602/9603); 3GPP Rel-17 NTN; ITU-R M.1850,https://www.iridium.com/services/iridium-sbd/
Ethernet P2P (Broadcast / UDP Multicast),web,ethernet_wire,Direct Ethernet frame transmission using UDP broadcast or multicast on LAN segment. Edge devices listen on specific port and execute commands from any sender on the same subnet.,UDP; EtherType; ARP; IGMP,<1ms on LAN,Minimal (64 bytes minimum Ethernet frame),N/A (IP-routed),"Low-Medium (UDP no ACK, no delivery guarantee)","None at link layer; VLAN ACLs, MAC filtering optional",Low,Very Low,Very Low,1-256 local I/O points,Smart building; Facilities; Hospitality; Retail,"Sub-millisecond relay triggering on local LAN, broadcast paging, synchronized actuation across multiple edge devices",Lowest possible latency on Ethernet (<1ms); Broadcast reaches all devices on subnet simultaneously; No IP configuration needed (raw Ethernet frames); Works on the most basic microcontrollers with Ethernet PHY,No delivery guarantee (UDP best-effort); Broadcast storms can impact network performance; No security or authentication by default; Does not route across subnets; Very implementation-specific; no standard API,IEEE 802.3; RFC 768 (UDP),https://www.rfc-editor.org/rfc/rfc768
DTMF over VoIP (RFC 4733),web,ethernet_ip,Use RFC 4733 out-of-band DTMF event packets within a SIP RTP stream to relay keypad digits as commands. Each digit maps to a specific action on the edge device.,SIP; RTP; RFC 4733; RFC 2833,<50ms (same as voice RTP),~100 bytes per DTMF event (within existing RTP stream),N/A (IP-routed),"High (redundant event reporting, duration field)",Same as SIP/RTP call (TLS + SRTP),Medium,Very Low (piggybacks on existing VoIP call),Very Low (piggybacks on existing VoIP call),1-256 local I/O points,Smart building; Facilities; Hospitality; Retail; SaaS; Contact center; Professional services; Systems integration,"Legacy IVR/auto-attendant style control over VoIP: press 1=relay on, press 2=relay off, press 3=query status",Piggybacks on existing SIP/VoIP infrastructure; Industry standard for DTMF transport over IP; Backward compatible with older PSTN DTMF patterns; Out-of-band avoids voice codec distortion,"Edge device must be an RTP endpoint or media proxy; Requires active SIP call/session to send DTMF; Limited command vocabulary (0-9, *, #); Not for high-frequency commands (single DTMF per packet)",RFC 4733; RFC 2833,https://www.rfc-editor.org/rfc/rfc4733
DNP3 / IEC 61850 (for utility/SCADA),non_web,serial_ethernet,"Industrial SCADA protocols (DNP3 over TCP/UDP, IEC 61850 over Ethernet) designed for electrical substation and utility edge device command/control.",DNP3; IEC 61850; IEC 60870-5-101/104; MODBUS TCP,<10ms on LAN,"Minimal (binary commands, analog status)",N/A (IP-routed),"Very High (time-tagged, sequence-of-events, redundant links)","DNP3 Secure Authentication (SAv5), IEC 62351",Very High,"High (SCADA master license, RTU, engineering)","High (SCADA master license, RTU, engineering); high engineering/infrastructure","10-10,000 industrial points",Utilities; Energy; Water; Industrial automation; Smart building; Facilities; Hospitality; Retail,"Utility substation, electrical grid, water treatment plant edge device command/control (relay, breaker, valve)",Industrial-grade reliability and determinism; Time-stamped events for post-incident analysis; Standard in utility industry worldwide; Secure authentication profiles available (SAv5),Very high complexity and engineering cost; Not designed for commercial/office environment; Overkill for simple relay/command use cases; Requires trained SCADA engineers; IEC 61850 requires specific Ethernet switches (GOOSE messaging),IEEE 1815 (DNP3); IEC 61850; IEC 62351; IEEE C37.118,https://www.dnp.org/About/Overview-of-DNP3-Protocol
NB-IoT / LTE-M,non_web,cellular_lpwans,Low-power cellular IoT technologies for command and telemetry where licensed-carrier coverage is available.,NB-IoT; LTE-M; MQTT; CoAP; LwM2M,100ms to several seconds,Tens to hundreds of Kbps,"Carrier footprint, strong indoor penetration",High where carrier IoT coverage exists,"3GPP SIM authentication, LTE encryption, TLS at application layer",Medium,Low-Medium subscription,Low-Medium subscription; subscription or message/device fees,"100-100,000 remote devices",Utilities; Energy; Water; Industrial automation; Smart building; Facilities; Hospitality; Retail; Venues; Broadcast; Digital signage; Logistics; Agriculture; Remote infrastructure; Public safety,"Remote alarms, utility meters, building edge controllers with small data payloads",Carrier-managed licensed spectrum; Better building penetration than classic LTE; Lower power than full cellular modems,Coverage varies by country and operator; Downlink latency can be variable; Requires SIM/eSIM lifecycle management,3GPP LTE Cat-M1; 3GPP NB-IoT; LwM2M,https://www.gsma.com/solutions-and-impact/technologies/internet-of-things/narrow-band-internet-of-things-nb-iot/
eSIM / Remote SIM Provisioning for IoT,non_web,cellular_esim,Use eSIM/eUICC profiles and remote SIM provisioning platforms to keep edge devices connected across carriers without physical SIM swaps.,eSIM; eUICC; SGP.02; SGP.22; SGP.32; HTTPS APIs,Carrier/data-path dependent,Cellular plan dependent,Multi-carrier national or global footprint,High with multi-IMSI/multi-carrier failover,"eUICC profile security, carrier authentication, TLS API control plane",Medium-High,Low-Medium per active profile/device,Low-Medium per active profile/device; subscription or message/device fees,"100-100,000 remote devices",Logistics; Agriculture; Remote infrastructure; Public safety,"Cellular command path for remote PBX gateways, alarms, meters, kiosks, fleet equipment, and industrial edge controllers",No truck roll for physical SIM swaps; Supports carrier failover and regional profile changes; API-managed fleet lifecycle,Device modem/eUICC compatibility must be verified; Carrier roaming and permanent-roaming rules vary by country; Voice/SMS support differs from data-only IoT plans,GSMA SGP.02; GSMA SGP.22; GSMA SGP.32,https://www.gsma.com/solutions-and-impact/technologies/esim/
Private LTE / Private 5G,non_web,private_cellular,Dedicated campus cellular network for mission-critical voice-adjacent device control and mobile edge connectivity.,LTE; 5G NR; SIP; MQTT; HTTPS,5-30ms typical,Mbps to Gbps,Campus or facility,Very High with engineered RF design,"SIM/eSIM authentication, 5G AKA, network slicing, private core policy",Very High,High,High; high engineering/infrastructure,"100-100,000 remote devices",Logistics; Agriculture; Remote infrastructure; Public safety,"Hospitals, ports, factories, airports, mines, and public safety campuses","Controlled RF and QoS; Mobility support beyond Wi-Fi; Can carry voice, video, and control traffic",Spectrum and core-network expertise required; High deployment cost; Regulatory model differs by country,3GPP 4G LTE; 3GPP 5G NR,https://www.3gpp.org/technologies/private-networks
Matter over Thread,non_web,radio_802_15_4,IP-based smart-building control using Matter application semantics over Thread low-power mesh.,Matter; Thread; IPv6; CoAP,<100ms typical,250 Kbps PHY,Building mesh,High in dense mesh,"Matter device attestation, CASE, AES-CCM",Medium,Low-Medium,Low-Medium,1-256 local I/O points,Utilities; Energy; Water; Industrial automation; Smart building; Facilities; Hospitality; Retail; Security; Manufacturing; Maintenance,"PBX-triggered building devices such as locks, lights, relays, and sensors","Modern multi-vendor smart-building standard; IP-based, unlike many older home automation stacks; Strong onboarding and attestation model",Still maturing in commercial deployments; Needs border routers; Device-class coverage is not universal,Matter 1.x; Thread 1.3; IEEE 802.15.4,https://csa-iot.org/all-solutions/matter/
Bluetooth LE / BLE Mesh,non_web,radio_24ghz,Short-range wireless control using BLE GATT services or BLE Mesh models.,Bluetooth LE; GATT; BLE Mesh,10-200ms,125 Kbps to 2 Mbps PHY,10-100m per hop,Medium-High,"LE Secure Connections, AES-CCM, provisioning keys",Medium,Very Low,Very Low,1-256 local I/O points,Smart building; Facilities; Hospitality; Retail; Security; Manufacturing; Maintenance,"Phone-proximate setup, room devices, badges, small relays, and sensors",Available in phones and low-cost microcontrollers; Good for provisioning and local control; BLE Mesh supports managed building-scale networks,2.4GHz interference; Range is limited without mesh; Gateway needed for remote PBX integration,Bluetooth Core; Bluetooth Mesh Profile,https://www.bluetooth.com/learn-about-bluetooth/feature-enhancements/mesh/
Wi-Fi HaLow (802.11ah),non_web,radio_subghz,Sub-GHz Wi-Fi variant for longer-range low-power IP connectivity to edge devices.,IEEE 802.11ah; IPv4; IPv6; HTTPS; MQTT,10-100ms,Hundreds of Kbps to Mbps,Hundreds of meters to 1km+,Medium-High,"WPA3 where supported, TLS at application layer",Medium,Medium,Medium,"100-100,000 remote devices",Utilities; Energy; Water; Industrial automation; Logistics; Agriculture; Remote infrastructure; Public safety,"Large campuses, warehouses, agriculture, and parking facilities needing IP without cellular",Native IP model like Wi-Fi; Better range and wall penetration than 2.4GHz Wi-Fi; Supports many IoT devices per access point,Ecosystem is younger than Wi-Fi 6/7 or LoRaWAN; Regional sub-GHz spectrum differs; Client hardware choices are narrower,IEEE 802.11ah,https://www.wi-fi.org/discover-wi-fi/wi-fi-halow
RS-485 / Modbus RTU,non_web,serial_wire,"Differential serial bus for robust local wired control of relays, PLCs, and I/O modules.",RS-485; Modbus RTU,<20ms local,9.6 Kbps to 115.2 Kbps typical,Up to 1200m bus length,High in electrically noisy sites,None natively; physical security and gateway isolation,Low-Medium,Very Low,Very Low,"10-10,000 industrial points",Utilities; Energy; Water; Industrial automation; Smart building; Facilities; Hospitality; Retail,PBX-to-gateway command of industrial relay boards and legacy building devices,Very cheap and rugged; Long cable runs; Huge ecosystem of relay and sensor modules,No native encryption or authentication; Bus termination and addressing must be correct; Gateway needed for IP/cloud integration,TIA/EIA-485; Modbus RTU,https://modbus.org/specs.php
Dry Contact / Relay Closure,non_web,electrical_contact,"Simple electrically isolated contact closure that emulates a button, alarm input, or door-strike trigger.",GPIO; Relay; Opto-isolated input,<5ms,Binary on/off,Cable dependent,Very High when wired correctly,Physical security only,Very Low,Very Low,Very Low,1-256 local I/O points,Smart building; Facilities; Hospitality; Retail; Healthcare; Public safety; Access control,"Door release, paging amplifier trigger, siren activation, elevator/fire-panel interface",Universally understood by legacy equipment; No protocol compatibility issue; Fails visibly and is easy to test with a meter,"No identity, encryption, or audit trail by itself; Only carries simple binary state; Requires local wiring and electrical protection",IEC relay practice; GPIO vendor specs,https://en.wikipedia.org/wiki/Dry_contact
Power Line Communication (PLC),non_web,powerline,Send control data over existing electrical wiring using narrowband or broadband PLC.,G3-PLC; PRIME; HomePlug Green PHY,10ms to seconds,Kbps to Mbps,Building or utility segment,Medium,AES profiles vary by standard,High,Medium,Medium,"5-5,000 devices",Utilities; Energy; Water; Industrial automation; Smart building; Facilities; Hospitality; Retail,"Utility meters, building devices, and retrofit sites where new signal cabling is hard",Uses existing power wiring; Useful in dense retrofit environments; Mature in smart-meter deployments,Noise and phase coupling affect reliability; Installation rules vary by electrical system; Not a good fit for life-safety triggers without engineering,G3-PLC; PRIME; HomePlug Green PHY,https://www.itu.int/en/ITU-T/studygroups/2017-2020/15/Pages/g.hn.aspx
SIP NOTIFY / SUBSCRIBE events,web,ethernet_ip,"SIP NOTIFY / SUBSCRIBE events as an alternative trigger or command path when PSTN line signaling is unavailable, expensive, or too limited.",SIP; SUBSCRIBE; NOTIFY,"<50ms on LAN, WAN dependent",Small command/event payloads,IP routed,High with retries and monitoring,"TLS/mTLS, signed payloads, RBAC, network segmentation",Medium,Low-Medium,Low-Medium,"5-5,000 devices",SaaS; Contact center; Systems integration,Voice platform events trigger subscribed device actions.,"Broadens migration options beyond PSTN and classic PBX lines; Can be selected by site constraints, latency, and available infrastructure; Integrates with gateways, edge controllers, or automation middleware",Requires validation against local device support and regulations; Operational tooling and monitoring differ by protocol; May need a gateway layer to connect with PBX or UCaaS events,SIP; SUBSCRIBE; NOTIFY,https://www.rfc-editor.org/rfc/rfc6665
